id,clientId,date,startTime,endTime,appointmentType,details
12,3368,2024-06-27,14:00,14:30,"Hair cut",""
14,1950,2024-06-21,04:00,04:30,"Taper + Beard",""
15,3368,2024-06-20,01:30,02:00,Haircut,""
17,1950,2024-06-24,09:15,09:45,"Haircut and Beard",""
56,1690,2024-06-07,16:00,17:00,"Adult - (Full Service)",""
57,1691,2023-05-04,10:30,11:00,"Beard Grooming Only",""
58,2006,2020-12-22,13:00,13:30,"Adult Cut",""
59,1692,2023-03-11,12:00,13:00,"Adult - (Full Service)",""
60,1693,2024-05-07,10:30,11:00,"Lineup + Taper",""
61,1694,2017-03-15,22:40,23:10,"UziExpress Clean Up",""
62,1695,2020-11-04,11:45,12:15,"Adult Cut",""
63,1696,2023-12-08,15:00,15:45,"Adult Cut + Beard Grooming",""
64,1697,2023-01-18,12:15,13:00,"Adult Cut + Beard Grooming",""
65,1698,2017-09-24,14:20,15:35,"Haircut + Beard (Adults) + Beard Grooming",""
66,1699,2021-06-30,12:45,13:15,"Adult Haircut (18 & Up)",""
67,1700,2021-03-06,15:00,15:30,"Adult Cut",""
68,1701,2017-09-24,13:40,14:55,"Haircut + Beard (Adults) + Beard Grooming",""
69,1928,2024-06-18,11:30,12:00,"Beard Grooming Only",""
70,1702,2023-09-23,12:15,13:00,"Adult Cut + Beard Grooming",""
71,1703,2020-09-22,12:30,13:00,"High-School Cut",""
72,1705,2020-09-19,12:30,13:00,"Kids Cut - (12 & Under)",""
73,1706,2022-01-12,10:30,11:00,"Adult Cut",""
74,1703,2021-04-09,15:15,15:45,"Adult Cut",""
75,1708,2022-10-14,16:00,16:45,"Adult Cut + Beard Grooming",""
76,1708,2024-06-27,12:30,13:00,"Adult Cut",""
77,1710,2021-03-19,17:15,17:45,"Adult Cut",""
78,1711,2022-06-03,13:45,14:30,"Adult Cut + Beard Grooming",""
79,1712,2024-04-23,16:00,17:00,"Adult - (Full Service)",""
80,1712,2024-06-25,13:00,13:45,"Adult Cut + Beard Grooming",""
81,1714,2020-07-14,15:30,16:00,"High-School Cut",""
82,1715,2021-02-27,15:00,15:30,"Adult Cut",""
83,1716,2022-01-26,11:00,11:45,"Adult Cut + Beard Grooming",""
84,1717,2021-12-02,12:15,13:00,"Adult Cut + Beard Grooming",""
85,1719,2020-10-24,17:00,17:45,"Haircut + Beard",""
86,1720,2018-12-07,19:30,20:30,"Haircut + Beard (Adults)",""
87,1721,2024-01-18,11:00,11:45,"Adult Cut + Beard Grooming",""
88,1721,2024-02-16,11:00,11:45,"Adult Cut + Beard Grooming",""
89,1723,2017-05-09,21:50,22:30,"UziCut with Beard Grooming",""
90,1724,2021-06-29,15:15,15:45,"Adult Haircut (18 & Up)",""
91,1725,2022-06-10,15:15,15:45,"Kids Cut - (12 & Under)",""
92,1726,2024-02-17,15:00,15:30,"Adult Cut",""
93,1726,2023-01-06,15:15,15:45,"Kids Cut - (12 & Under)",""
94,1725,2021-10-16,10:00,10:30,"Kids Cut - (12 & Under)",""
95,1729,2022-01-08,14:00,14:30,"Adult Cut",""
96,1698,2020-05-24,16:00,17:00,"Haircut +Beard (High-School)",""
97,1731,2024-03-15,15:00,15:30,"High-School Cut",""
98,1732,2017-06-04,13:40,14:40,"Haircut + Beard (Adults)",""
99,1733,2019-12-19,20:30,21:30,"Haircut + Beard (Adults)",""
100,1734,2022-02-23,12:45,13:15,"Adult Cut",""
101,1735,2020-10-14,15:15,15:45,"Adult Cut",""
102,1736,2023-05-16,14:30,15:15,"Adult Cut + Beard Grooming",""
103,1737,2024-06-28,11:00,11:30,"Beard Grooming Only",""
104,1738,2023-09-22,10:30,11:15,"Adult Cut + Beard Grooming",""
105,1696,2024-06-21,16:00,17:00,"Adult - (Full Service)",""
106,1741,2022-10-07,11:45,12:30,"Adult Cut + Beard Grooming",""
107,1742,2024-06-19,13:30,14:00,"Lineup + Taper",""
108,1743,2021-07-02,16:45,17:15,"Adult Haircut (18 & Up)",""
109,1744,2022-10-29,11:30,12:00,"High-School Cut",""
110,1746,2022-03-16,11:45,12:15,"Beard Grooming Only",""
111,1747,2022-01-18,15:00,15:45,"Adult Cut + Beard Grooming",""
112,1748,2024-01-19,09:00,09:30,"Adult Cut",""
113,1749,2022-05-10,15:45,16:15,"High-School Cut",""
114,1750,2023-08-30,16:00,16:45,"High-School Cut + Beard Grooming, Wax - Hair Removal ($5+)",""
115,1752,2021-05-12,10:30,11:15,"Adult Haircut + Beard (18 & Up)",""
116,1750,2021-06-10,12:00,12:45,"Student Haircut (17 & Under)",""
117,1754,2020-09-05,11:30,12:00,"High-School Cut",""
118,1755,2024-01-09,13:00,13:30,"Adult Cut",""
119,1756,2021-08-05,10:30,11:00,"Adult Cut",""
120,1758,2017-06-23,18:00,18:40,"UziCut with Beard Grooming",""
121,1757,2024-06-08,15:00,16:00,"Adult - (Full Service)",""
122,1758,2017-05-03,22:00,22:40,"UziCut with Beard Grooming",""
123,1759,2022-07-22,15:30,16:15,"Adult Cut + Beard Grooming",""
124,1760,2020-07-29,16:00,16:30,"High-School Cut",""
125,1761,2017-03-18,16:30,17:10,"UziCut with Beard Grooming",""
126,1762,2024-04-19,10:30,11:00,"Adult Cut",""
127,1763,2020-07-07,16:30,17:00,"Adult Cut",""
128,1764,2022-07-16,13:00,13:30,"Adult Cut",""
129,1765,2017-03-12,13:00,13:40,"UziCut with Beard Grooming",""
130,1766,2020-07-18,11:15,12:00,"Adult Cut + Beard Grooming",""
131,1767,2020-12-28,11:30,12:15,"Adult Cut + Beard Grooming",""
132,1768,2022-03-26,10:45,11:15,"High-School Cut",""
133,1751,2023-06-29,15:15,15:45,"Adult Cut",""
134,1770,2023-04-19,12:30,13:15,"Hair Cut + Beard",""
135,1771,2017-08-19,14:00,15:15,"Haircut + Beard (Adults) + Beard Grooming",""
136,1772,2022-08-09,11:30,12:15,"Adult Cut + Beard Grooming",""
137,1930,2017-04-09,16:30,17:30,"Haircut + Beard (Adults)",""
138,1773,2022-04-27,15:00,15:30,"Adult Cut",""
139,1774,2020-11-13,14:45,15:15,"Adult Cut",""
140,1775,2021-02-13,12:45,13:30,"Adult Haircut (18 & Up) + Beard Grooming",""
141,1776,2021-05-22,10:45,11:30,"Adult Haircut + Beard (18 & Up)",""
142,1777,2022-05-07,15:00,15:30,"Beard Grooming Only",""
143,1778,2017-06-01,19:30,20:30,"Haircut + Beard (Adults)",""
144,1779,2024-01-20,09:00,09:30,"Adult Cut",""
145,1780,2017-11-11,14:30,15:00,"Kids Cut - (12 & Under)",""
146,1780,2021-05-28,10:30,11:00,"Adult Haircut (18 & Up)",""
147,1782,2020-10-13,11:00,11:30,"Adult Cut + Hot Towel + Black Mask Treatment for Clogged Pores, Wax - Hair Removal ($5+)",""
148,1782,2020-10-21,15:30,16:00,"Kids Cut - (12 & Under)",""
149,1782,2020-10-13,11:30,12:00,"Adult Cut",""
150,1785,2020-05-22,16:00,17:00,"Haircut + Beard (Adults)",""
151,1786,2024-06-27,11:00,11:45,"Adult Cut + Beard Grooming",""
152,1698,2019-04-21,12:30,13:30,"Haircut + Beard (Adults)",""
153,1788,2018-09-02,16:30,17:30,"Haircut + Beard (Adults)",""
154,1789,2019-04-04,20:00,20:30,"UziExpress Clean Up",""
155,1790,2020-10-15,15:00,15:30,"Adult Cut",""
156,1792,2024-04-16,10:30,11:00,"Adult Cut",""
157,1791,2020-02-13,08:15,09:15,"Haircut + Beard (Adults)",""
158,1793,2022-02-11,16:30,17:00,"Adult Cut",""
159,1794,2023-06-08,15:00,15:45,"Adult Cut + Beard Grooming",""
160,1795,2022-06-16,14:30,15:15,"Adult Cut + Beard Grooming",""
161,1796,2022-02-22,15:00,15:30,"High-School Cut",""
162,1797,2017-04-16,14:00,15:00,"Haircut + Beard (Adults)",""
163,1798,2017-06-10,11:40,12:40,"Haircut + Beard (Adults)",""
164,1799,2024-06-17,09:00,09:30,"Adult Cut",""
165,1800,2020-11-27,14:15,14:45,"High-School Cut + Wax - Hair Removal ($5+)",""
166,1800,2020-08-28,14:15,14:45,"High-School Cut",""
167,1802,2019-03-17,15:30,16:30,"Haircut + Beard (Adults)",""
168,1803,2020-09-02,15:00,15:30,"Kids Cut - (12 & Under)",""
169,1804,2021-12-21,16:00,16:30,"Adult Cut",""
170,1791,2021-09-01,12:00,12:45,"Adult Cut + Beard Grooming",""
171,1807,2024-06-13,16:00,17:00,"Adult - (Full Service)",""
172,1698,2017-08-10,18:00,18:30,"Kids Cut - (12 & Under)",""
173,1809,2021-08-10,12:00,12:30,"High-School Cut + Wax - Hair Removal ($5+)",""
174,1810,2024-05-04,09:00,09:30,"Adult Cut",""
175,1811,2024-05-29,12:00,12:30,"Beard Grooming Only",""
176,1695,2021-03-16,17:30,18:00,"Adult Cut",""
177,1813,2021-03-18,16:15,16:45,"Lineup + Taper",""
178,1814,2024-06-21,10:00,10:30,"High-School Cut + Wax - Hair Removal ($5+)",""
179,1814,2024-06-14,10:00,10:30,"Kids Cut - (12 & Under)",""
180,1817,2024-05-09,10:00,10:45,"Adult Cut + Beard Grooming",""
181,1814,2023-04-19,11:30,12:00,"High-School Cut",""
182,1819,2021-04-08,15:00,15:45,"Adult Cut + Beard Grooming, Hot Towel + Black Mask Treatment for Clogged Pores",""
183,1820,2019-11-21,09:00,10:00,"Haircut + Beard (Adults)",""
184,1822,2024-09-07,11:30,12:00,"Adult Cut",""
185,1823,2021-06-11,14:30,15:00,"Adult Haircut (18 & Up)",""
186,1824,2021-02-11,14:30,15:15,"Student Haircut (17 & Under)",""
187,1822,2022-12-20,10:30,11:15,"Adult Cut + Beard Grooming",""
188,1826,2023-01-05,17:00,18:00,"Adult - (Full Service)",""
189,1827,2022-01-26,11:45,12:30,"Adult Cut + Beard Grooming",""
190,1828,2021-03-20,15:00,15:30,"High-School Cut",""
191,1829,2020-03-20,09:00,10:00,"Haircut + Beard (Adults)",""
192,1830,2022-08-03,16:00,16:45,"Adult Cut + Beard Grooming",""
193,1831,2022-02-12,10:00,10:30,"Beard Grooming Only",""
194,1825,2022-12-20,11:15,11:45,"Adult Cut",""
195,1816,2024-06-14,09:00,09:30,"High-School Cut",""
196,1835,2021-12-22,16:30,17:00,"High-School Cut + Hot Towel + Black Mask Treatment for Clogged Pores",""
197,1836,2019-10-25,08:15,09:15,"Haircut + Beard (Adults)",""
198,1837,2024-05-08,14:00,14:30,"Kids Cut - (12 & Under)",""
199,1838,2020-07-16,15:30,16:15,"Adult Cut + Beard Grooming",""
200,1840,2022-03-23,16:15,17:00,"Adult Cut + Beard Grooming",""
201,1841,2020-09-08,18:30,19:15,"High-School - (Full Service)",""
202,1842,2017-07-02,18:10,18:40,"Kids Cut - (12 & Under)",""
203,1844,2023-06-21,15:00,15:45,"Adult Cut + Beard Grooming",""
204,1839,2023-12-26,16:00,17:00,"Adult - (Full Service)",""
205,1845,2021-09-03,10:30,11:00,"Kids Cut - (12 & Under)",""
206,1845,2021-09-03,11:00,11:30,"Kids Cut - (12 & Under)",""
207,1845,2021-12-17,12:30,13:00,"Adult Cut",""
208,1848,2017-03-12,10:40,11:20,"UziCut with Beard Grooming",""
209,1931,2017-09-24,15:30,16:00,"Kids Cut - (12 & Under)",""
210,1849,2023-01-21,16:00,16:45,"Adult Cut + Beard Grooming",""
211,1850,2017-08-06,17:00,17:30,"UziExpress Clean Up",""
212,1851,2017-11-21,19:40,20:55,"Haircut + Beard (Adults) + Beard Grooming, Hot Towel + Black Mask Treatment for Clogged Pores",""
213,1698,2021-12-07,17:00,18:00,"Adult - (Full Service)",""
214,1853,2024-03-21,17:00,18:00,"Adult - (Full Service)",""
215,1854,2023-06-29,10:00,10:30,"Adult Cut",""
216,1855,2017-04-16,12:00,12:30,"UziExpress Clean Up",""
217,1856,2017-03-26,10:40,11:40,"Haircut + Beard (Adults)",""
218,1857,2021-09-21,16:15,16:45,"Beard Grooming Only",""
219,1858,2024-06-20,12:00,12:30,"Adult Cut",""
220,1859,2023-09-07,16:15,16:45,"High-School Cut",""
221,1859,2024-05-22,15:00,15:30,"High-School Cut",""
222,1861,2020-07-16,17:15,18:00,"Adult Cut + Beard Grooming",""
223,1862,2020-11-21,11:00,11:45,"Adult Cut + Beard Grooming",""
224,1863,2018-12-26,19:30,20:30,"Haircut + Beard (Adults)",""
225,1863,2017-06-19,18:40,19:20,"UziCut with Beard Grooming",""
226,1696,2024-01-12,16:00,17:00,"Adult - (Full Service)",""
227,1866,2017-12-24,12:00,13:00,"Haircut + Beard (Adults)",""
228,1867,2017-07-18,19:10,19:40,"UziExpress Clean Up",""
229,1868,2021-06-12,11:30,12:15,"Adult Haircut + Beard (18 & Up)",""
230,1869,2020-12-10,16:15,16:45,"Adult Cut",""
231,1870,2024-07-05,09:00,09:30,"Adult Cut",""
232,1871,2024-06-14,16:00,17:00,"Adult - (Full Service)",""
233,1872,2024-05-14,10:00,10:30,"Lineup + Taper + Beard Grooming",""
234,1698,2017-03-11,17:25,18:05,"UziCut with Beard Grooming",""
235,1875,2021-02-10,11:15,11:45,"Adult Haircut (18 & Up)",""
236,1875,2024-06-20,09:00,09:30,"Adult Cut",""
237,1876,2020-07-04,10:15,11:00,"Adult Cut + Beard Grooming",""
238,1877,2024-07-13,11:00,11:45,"Adult Cut + Beard Grooming",""
239,1879,2023-10-12,14:30,15:15,"Adult Cut + Beard Grooming",""
240,1880,2022-06-04,14:30,15:15,"Adult Cut + Beard Grooming",""
241,1877,2024-03-05,13:30,14:00,"High-School Cut",""
242,1879,2024-05-15,13:30,14:15,"Adult Cut + Beard Grooming",""
243,1879,2024-06-07,10:00,10:30,"Adult Cut",""
244,1884,2023-04-12,09:30,10:15,"Adult Cut + Beard Grooming",""
245,1885,2017-11-04,15:30,16:30,"Haircut + Beard (Adults)",""
246,1886,2017-06-20,18:00,19:15,"Haircut + Beard (Adults) + Beard Grooming",""
247,1886,2020-06-30,12:45,13:30,"Adult Cut + Beard Grooming",""
248,1888,2017-06-08,21:00,22:00,"Haircut + Beard (Adults)",""
249,1889,2021-08-03,11:15,11:45,"Adult Haircut (18 & Up)",""
250,1793,2022-05-17,12:00,12:30,"Adult Cut",""
251,1891,2021-05-28,11:15,11:45,"Adult Haircut (18 & Up)",""
252,1892,2021-03-09,13:00,13:30,"Adult Cut",""
253,1893,2019-12-24,09:00,10:00,"Haircut + Beard (Adults)",""
254,1894,2024-03-06,15:00,15:30,"Lineup + Taper",""
255,1895,2017-09-30,10:40,11:25,"UziExpress Clean Up + Beard Grooming",""
256,1896,2017-07-25,20:00,21:00,"Haircut + Beard (Adults)",""
257,1897,2019-03-24,15:30,16:30,"Haircut + Beard (Adults)",""
258,1897,2019-02-10,13:00,14:00,"Haircut + Beard (Adults)",""
259,1895,2017-07-16,18:40,19:25,"Kids Cut - (12 & Under) + Beard Grooming, Colour Enhancement for Patchy Beard",""
260,1900,2017-04-25,21:10,22:10,"Haircut + Beard (Adults)",""
261,1901,2021-04-29,14:30,15:15,"Student Haircut + Beard (17 & Under)",""
262,1902,2022-05-27,15:00,15:30,"High-School Cut",""
263,1902,2022-05-27,15:30,16:00,"Kids Cut - (12 & Under)",""
264,1904,2017-07-23,11:30,12:00,"Kids Cut - (12 & Under)",""
265,1905,2022-03-16,15:00,15:30,"Adult Cut",""
266,1716,2021-08-10,10:30,11:00,"Adult Cut",""
267,1907,2022-01-27,10:30,11:15,"Adult Cut + Beard Grooming",""
268,1908,2021-11-13,15:00,15:30,"Lineup + Taper + Beard Grooming",""
269,1909,2019-04-14,15:00,16:00,"Haircut + Beard (Adults)",""
270,1909,2019-04-14,12:30,13:30,"Haircut + Beard (Adults)",""
271,1908,2020-12-15,15:45,16:15,"Beard Grooming Only + Wax - Hair Removal ($5+)",""
272,1932,2019-09-24,20:15,21:15,"Haircut + Beard (Adults)",""
273,1912,2020-09-08,15:30,16:00,"Adult Cut",""
274,1913,2021-03-16,18:30,19:15,"Haircut + Beard",""
275,1913,2021-11-09,12:45,13:15,"Beard Grooming Only",""
276,1915,2023-05-26,16:15,16:45,"High-School Cut",""
277,1916,2024-05-14,13:00,13:45,"Adult Cut + Beard Grooming, Wax - Hair Removal ($5+)",""
278,1917,2021-06-26,12:15,12:45,"Adult Haircut (18 & Up)",""
279,1699,2021-03-10,12:45,13:15,"Adult Cut",""
280,1919,2020-12-23,14:15,15:00,"Adult Cut + Beard Grooming",""
281,1920,2021-07-30,16:00,16:30,"Adult Haircut (18 & Up)",""
282,1921,2024-01-30,09:00,09:45,"Adult Cut + Beard Grooming",""
283,1793,2020-09-11,17:30,18:00,"Adult Cut",""
284,1793,2022-08-13,12:00,12:30,"Adult Cut",""
285,1924,2022-08-09,10:30,11:00,"Adult Cut",""
286,1924,2022-06-09,10:30,11:00,"Adult Cut",""
287,1926,2021-04-15,12:45,13:30,"High-School Cut + Beard Grooming",""
288,1933,2020-01-10,19:00,20:00,"Haircut + Beard (Adults)",""
289,1927,2022-11-12,15:15,16:00,"Adult Cut + Beard Grooming",""
290,1934,2020-07-08,14:30,15:00,"High-School Cut",""
291,1935,2022-01-21,10:30,11:00,"Adult Cut",""
292,1936,2024-02-03,11:00,11:30,"Adult Cut",""
293,1937,2023-05-26,17:00,18:00,"Adult - (Full Service)",""
294,1938,2023-07-01,15:15,16:00,"Adult Cut + Beard Grooming",""
295,1939,2023-06-08,12:15,13:00,"Adult Cut + Beard Grooming",""
296,1940,2023-01-27,17:00,18:00,"Adult - (Full Service)",""
297,1938,2018-09-02,11:00,12:00,"Haircut + Beard (Adults)",""
298,1942,2020-07-22,11:15,11:45,"High-School Cut",""
299,1943,2018-10-07,12:45,13:45,"Haircut + Beard (Adults)",""
300,1944,2021-03-09,14:30,15:00,"Adult Cut",""
301,1945,2022-07-12,12:30,13:00,"Adult Cut",""
302,1946,2021-03-12,10:30,11:00,"Adult Cut",""
303,1947,2024-07-09,13:00,13:30,"Adult Cut",""
304,1948,2024-05-14,15:00,16:00,"Adult - (Full Service)",""
305,2029,2021-03-20,14:30,15:00,"High-School Cut",""
306,2029,2021-09-02,11:30,12:00,"Adult Cut",""
307,1949,2020-09-24,16:00,16:30,"Adult Cut",""
308,1950,2024-02-13,15:00,16:00,"Adult - (Full Service)",""
309,1951,2020-09-15,15:15,15:45,"High-School Cut",""
310,1952,2024-02-13,14:30,15:00,"Kids Cut - (12 & Under)",""
311,1953,2021-03-30,17:00,17:45,"Adult Cut + Beard Grooming",""
312,1954,2021-02-19,16:00,16:30,"Kids Cut - (12 & Under)",""
313,1954,2021-03-25,16:30,17:00,"Kids Cut - (12 & Under)",""
314,1954,2021-07-10,11:15,11:45,"Kids Cut - (12 & Under)",""
315,1957,2020-12-24,16:15,17:00,"Adult Cut + Beard Grooming, Hot Towel + Black Mask Treatment for Clogged Pores, Wax - Hair Removal ($5+)",""
316,1958,2023-06-20,10:30,11:00,"High-School Cut",""
317,1959,2020-07-02,11:00,11:45,"Adult Cut + Beard Grooming",""
318,1961,2022-04-15,17:45,18:45,"Adult - (Full Service)",""
319,1698,2017-05-27,19:30,20:30,"Haircut + Beard (Adults)",""
320,1963,2021-10-26,16:30,17:00,"High-School Cut",""
321,1964,2021-06-19,15:15,15:45,"Adult Haircut (18 & Up)",""
322,1965,2017-06-11,17:20,18:00,"UziCut with Beard Grooming",""
323,1966,2021-06-24,12:45,13:15,"Adult Haircut (18 & Up)",""
324,1967,2020-07-03,16:00,16:30,"Adult Cut",""
325,1698,2017-06-24,14:20,15:20,"Haircut + Beard (Adults)",""
326,1969,2021-03-24,14:30,15:00,"Adult Cut",""
327,1970,2024-06-21,09:00,09:30,"Adult Cut",""
328,1970,2021-05-25,16:45,17:15,"Adult Haircut (18 & Up)",""
329,1972,2021-02-25,14:30,15:15,"Adult Cut + Beard Grooming, Hot Towel + Black Mask Treatment for Clogged Pores",""
330,1973,2023-09-19,10:00,10:45,"Adult Cut + Beard Grooming",""
331,1974,2020-12-01,12:15,12:45,"Adult Cut",""
332,1975,2024-03-16,14:30,15:00,"Beard Grooming Only",""
333,1976,2022-08-24,10:45,11:15,"Adult Cut + Wax - Hair Removal ($5+)",""
334,1977,2022-08-23,11:30,12:00,"Kids Cut - (12 & Under)",""
335,1978,2023-02-09,11:15,11:45,"Adult Cut",""
336,1979,2019-10-23,09:00,10:00,"Haircut + Beard (Adults)",""
337,1980,2022-06-15,14:30,15:00,"Adult Cut",""
338,1981,2024-06-26,15:00,16:00,"Adult - (Full Service)",""
339,1982,2022-11-30,14:30,15:00,"Kids Cut - (12 & Under)",""
340,1982,2023-04-25,11:00,11:45,"Adult Cut + Beard Grooming",""
341,1982,2022-11-26,12:30,13:00,"Adult Cut",""
342,1982,2022-01-19,11:45,12:15,"Kids Cut - (12 & Under)",""
343,1986,2024-06-04,11:00,11:30,"Adult Cut",""
344,1935,2021-05-21,12:45,13:15,"Adult Haircut (18 & Up)",""
345,1988,2020-12-08,16:15,16:45,"Adult Cut",""
346,1989,2020-12-15,19:15,20:00,"Haircut + Beard",""
347,1990,2022-10-29,12:30,13:00,"Adult Cut",""
348,1827,2021-03-09,10:30,11:00,"Kids Cut - (12 & Under)",""
349,1992,2017-05-07,19:00,20:00,"Haircut + Beard (Adults)",""
350,1993,2019-05-02,20:00,21:00,"Haircut + Beard (Adults)",""
351,1994,2017-03-10,20:00,20:40,"UziCut with Beard Grooming",""
352,1995,2019-03-03,14:30,15:30,"Haircut + Beard (Adults)",""
353,2779,2021-03-13,15:30,16:00,"High-School Cut",""
354,1997,2020-12-18,12:00,12:30,"Kids Cut - (12 & Under)",""
355,1998,2023-09-06,11:45,12:15,"Adult Cut",""
356,1999,2023-08-01,13:30,14:00,"Adult Cut",""
357,2000,2021-12-31,11:45,12:15,"Lineup + Taper",""
358,2002,2023-12-26,13:00,13:30,"Adult Cut",""
359,1863,2017-05-03,22:45,23:25,"UziCut with Beard Grooming",""
360,2004,2017-10-22,11:00,12:00,"Haircut + Beard (Adults)",""
361,2005,2020-12-04,14:15,14:45,"Adult Cut",""
362,2006,2017-11-13,17:30,18:30,"Haircut + Beard (Adults)",""
363,1698,2018-10-21,12:45,13:45,"Haircut + Beard (Adults)",""
364,1698,2019-03-08,19:30,20:30,"Haircut + Beard (Adults)",""
365,2009,2021-03-12,16:30,17:00,"Adult Cut",""
366,2010,2023-06-20,14:00,14:30,"Adult Cut",""
367,2009,2023-01-24,15:00,15:30,"Adult Cut",""
368,1698,2024-04-24,13:30,14:15,"Haircut + Beard",""
369,2013,2021-06-10,11:15,11:45,"Adult Haircut (18 & Up)",""
370,2014,2019-08-14,20:15,21:15,"Haircut + Beard (Adults)",""
371,2015,2020-06-27,10:30,11:00,"Adult Cut",""
372,2016,2020-10-21,15:00,15:30,"Kids Cut - (12 & Under)",""
373,2018,2024-03-15,16:00,17:00,"Adult - (Full Service)",""
374,2018,2020-11-27,19:15,20:00,"Haircut + Beard",""
375,2019,2023-10-18,11:15,11:45,"Adult Cut",""
376,2020,2021-05-12,17:30,18:30,"Adult - (Full Service)",""
